COOPERATIVA OBRERA,SUPERMERCADOS,-40.8100837,-63.0010389
COOPERATIVA OBRERA,SUPERMERCADOS,-38.9290646,-67.9988277
COOPERATIVA OBRERA,SUPERMERCADOS,-40.151994,-71.396638
COOPERATIVA OBRERA,SUPERMERCADOS,-40.1572376,-71.3535147
CORDILLERANA,MERCADOS - AUTOSERVICIOS,-39.2387173,-70.9193425
CORRALON AUSTRAL,CORRALONES - MADERERAS,-40.1572103,-71.3524436
CORRALON CARLOS V.PARADA,CORRALONES - MADERERAS,-37.3890651,-68.9239465
CORRALON CENTENARIO,CORRALONES - MADERERAS,-38.8330512,-68.1225642
CORRALON CINCO SALTOS,CORRALONES - MADERERAS,-38.8314173,-68.0624688
CORRALON EL MAPUCHE,CORRALONES - MADERERAS,-38.9558855,-67.9226367
CORRALON EL SALVA,CORRALONES - MADERERAS,-39.9522777,-71.0717856
CORRALON LA FERRETERIA,FERRETERIA CON ANEXO CORRALON DE MATERIALES,-38.952286,-68.2376384
CORRALON PATAGONICO DE LOS ANDES,CORRALONES - MADERERAS,-40.1572103,-71.3524436
CORRALON PITTY,CORRALONES - MADERERAS,-38.6785743,-68.2138632
CORRALON PITTY,CORRALONES - MADERERAS,-38.9610083,-68.0375267
CORRE CARMELA,LENCERIAS,-38.9508024,-68.0606407
COSITA MIA,BEBES - NIÑOS,-39.9493085,-71.0756714
COTILLON SIGLO 21,COTILLONES Y REPOSTERIAS,-38.9591102,-68.059619
CRAZY KIDS,TIENDAS,-37.3891059,-68.9238105
CRAZYMAX,TIENDAS,-37.3917045,-68.9260993
CROMA,VAQUERIAS Y ROPA INFORMAL,-38.9516784,-68.0591888
CROMA,INDUMENTARIA URBANA Y CALZADOS,-38.8334472,-68.1211334
